Neighborhood_ID,Neighborhood_name,Borough,Latitude,Longitude
Castle Hill40.819014376988314-73.84802729582735,Castle Hill,Bronx,40.819014376988314,-73.84802729582735
Olinville40.87137078192371-73.86332361652777,Olinville,Bronx,40.87137078192371,-73.86332361652777
Pelham Gardens40.86296562477998-73.84161194831223,Pelham Gardens,Bronx,40.86296562477998,-73.84161194831223
Concourse40.83428380733851-73.91558941773444,Concourse,Bronx,40.83428380733851,-73.91558941773444
Unionport40.82977429787161-73.85053524451935,Unionport,Bronx,40.82977429787161,-73.85053524451935
Edenwald40.88456130303732-73.84808271877168,Edenwald,Bronx,40.88456130303732,-73.84808271877168
Bay Ridge40.625801065010656-74.03062069353813,Bay Ridge,Brooklyn,40.625801065010656,-74.03062069353813
Bensonhurst40.61100890202044-73.99517998380729,Bensonhurst,Brooklyn,40.61100890202044,-73.99517998380729
Sunset Park40.64510294925429-74.01031618527784,Sunset Park,Brooklyn,40.64510294925429,-74.01031618527784
Greenpoint40.7302009848647-73.95424093127393,Greenpoint,Brooklyn,40.7302009848647,-73.95424093127393
Gravesend40.59526001306593-73.97347087708445,Gravesend,Brooklyn,40.59526001306593,-73.97347087708445
Brighton Beach40.57682506566604-73.96509448785336,Brighton Beach,Brooklyn,40.57682506566604,-73.96509448785336
Sheepshead Bay40.58689012678384-73.94318640482979,Sheepshead Bay,Brooklyn,40.58689012678384,-73.94318640482979
Manhattan Terrace40.61443251335098-73.95743840559939,Manhattan Terrace,Brooklyn,40.61443251335098,-73.95743840559939
Flatbush40.63632589026677-73.95840106533903,Flatbush,Brooklyn,40.63632589026677,-73.95840106533903
Crown Heights40.67082917695294-73.94329119073582,Crown Heights,Brooklyn,40.67082917695294,-73.94329119073582
East Flatbush40.64171776668961-73.93610256185836,East Flatbush,Brooklyn,40.64171776668961,-73.93610256185836
Kensington40.642381958003526-73.98042110559474,Kensington,Brooklyn,40.642381958003526,-73.98042110559474
Windsor Terrace40.65694583575104-73.98007340430172,Windsor Terrace,Brooklyn,40.65694583575104,-73.98007340430172
Prospect Heights40.676822262254724-73.9648592426269,Prospect Heights,Brooklyn,40.676822262254724,-73.9648592426269
Brownsville40.66394994339755-73.91023536176607,Brownsville,Brooklyn,40.66394994339755,-73.91023536176607
Williamsburg40.70714439344251-73.95811529220927,Williamsburg,Brooklyn,40.70714439344251,-73.95811529220927
Bushwick40.69811611017901-73.92525797487045,Bushwick,Brooklyn,40.69811611017901,-73.92525797487045
Bedford Stuyvesant40.687231607720456-73.94178488690297,Bedford Stuyvesant,Brooklyn,40.687231607720456,-73.94178488690297
Brooklyn Heights40.695863722724084-73.99378225496424,Brooklyn Heights,Brooklyn,40.695863722724084,-73.99378225496424
Cobble Hill40.687919722485574-73.99856139218463,Cobble Hill,Brooklyn,40.687919722485574,-73.99856139218463
Carroll Gardens40.680540231076485-73.99465372828006,Carroll Gardens,Brooklyn,40.680540231076485,-73.99465372828006
Red Hook40.676253230250886-74.0127589747356,Red Hook,Brooklyn,40.676253230250886,-74.0127589747356
Gowanus40.673931143187154-73.99444087145339,Gowanus,Brooklyn,40.673931143187154,-73.99444087145339
Fort Greene40.68852726018977-73.97290574369092,Fort Greene,Brooklyn,40.68852726018977,-73.97290574369092
Park Slope40.67232052268197-73.97705030183924,Park Slope,Brooklyn,40.67232052268197,-73.97705030183924
